Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_222_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H144_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H225_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H240_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H322_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H446_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H457_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H466_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H467_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H471_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T83_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T349_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T350_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T406_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T410_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T413_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T441_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T463_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T488_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T506_01.mzML
Q8IWV7	Q8IWV7	UBR1_HUMAN	UBR1	E3 ubiquitin-protein ligase UBR1	208378	223965	253783	325738		191733	242963	205282	219731	290462	209048			386747	87678.1	98539.1	288835	304047	238882	356059
Q8IWV8	Q8IWV8	UBR2_HUMAN	UBR2	E3 ubiquitin-protein ligase UBR2	1.05318e+06				3.23747e+06		2.53434e+06	1.03809e+06	1.93713e+06	4.95533e+06	2.91214e+06			17449.9	5.37201e+06		10689.4	2.79036e+06		1.47818e+06
Q8IWZ4	Q8IWZ4	TRI48_HUMAN	TRIM48	E3 ubiquitin-protein ligase TRIM48		703424	610313			760574	578989	568021		599576			628866	295883				493635	627260	
Q8IX19	Q8IX19	MCEM1_HUMAN	MCEMP1	Mast cell-expressed membrane protein 1	2.10396e+06	1.79477e+06	2.63078e+06	1.48356e+06	1.19192e+06	1.68383e+06	1.21985e+06	4.09368e+06	3.01901e+06	3.06117e+06	1.09024e+06	1.54043e+06	874528	804681	779077	999987	3.06436e+06	3.66715e+06	2.28747e+06	4.28414e+06
Q8IXB1	Q8IXB1	DJC10_HUMAN	DNAJC10	DnaJ homolog subfamily C member 10	181366	159633	151940		278404	143145		119762	137603	156466	144519	184489	233165	477122		235361	209297		122762	93535.2
Q8IXI1	Q8IXI1	MIRO2_HUMAN	RHOT2	Mitochondrial Rho GTPase 2			962080	1.00548e+06		882043		760398	1.26904e+06	209166				1.18657e+06		647147	725505			
Q8IXI2	Q8IXI2	MIRO1_HUMAN	RHOT1	Mitochondrial Rho GTPase 1	222611	183701	170250	95252.2	175487	106402	79482.5	248586	174009	208177	104882	151350		547488		177559	245828	148612		107648
Q8IXJ6	Q8IXJ6	SIR2_HUMAN	SIRT2	NAD-dependent protein deacetylase sirtuin-2	453664	420513	555520	426920	543415	456622	371932	652759	461116		224938	538075	701934	320028	556359	630928	410772	518232	551061	
Q8IXQ6	Q8IXQ6	PARP9_HUMAN	PARP9	Protein mono-ADP-ribosyltransferase PARP9	340558	340563	389818	428735	984465	366139	273439	397420	574048	472619	385756	268639	343610	485001	241062	385155	329346	196326	436484	367804
Q8IY17	Q8IY17	PLPL6_HUMAN	PNPLA6	Patatin-like phospholipase domain-containing protein 6	438833	188061	460010	231124	332301	177273	199022	361012	342443	204155	297688	443969		701597		933127	349223	157080	174953	465350
Q8IY22	Q8IY22	CMIP_HUMAN	CMIP	C-Maf-inducing protein	5.70194e+06	5.94136e+06	5.30205e+06	6.43582e+06	5.10331e+06	5.94891e+06	6.06029e+06	4.47332e+06	5.17858e+06	4.04022e+06	5.67853e+06	5.26305e+06	4.58286e+06	6.81903e+06	4.64663e+06	4.25749e+06	5.26872e+06	4.62012e+06	5.68676e+06	2.9245e+06
Q8IY33	Q8IY33	MILK2_HUMAN	MICALL2	MICAL-like protein 2		515657	534445			568131		607195						123881		358729	342397			
Q8IYB5	Q8IYB5	SMAP1_HUMAN	SMAP1	Stromal membrane-associated protein 1	477008	375928				375032	541749	311072	411455	529371	644312			481489	441377		590403		805532	
Q8IYB7	Q8IYB7	DI3L2_HUMAN	DIS3L2	DIS3-like exonuclease 2														48420.9						
Q8IYD1	Q8IYD1	ERF3B_HUMAN	GSPT2	Eukaryotic peptide chain release factor GTP-binding subunit ERF3B	2.97836e+06	1.25364e+06		4.86678e+06	5.40896e+06	3.28287e+06		4.67527e+06	1.89991e+06					1.1339e+07			9.3918e+06			1.37343e+06
Q8IYE1	Q8IYE1	CCD13_HUMAN	CCDC13	Coiled-coil domain-containing protein 13	834985	4.96405e+06	1.10057e+06	813584		1.80333e+06	2.15192e+06	876943	1.82408e+06	1.77706e+06	985850		1.16776e+06		3.05759e+06			3.69536e+06	3.28815e+06	6.55221e+06
Q8IYI6	Q8IYI6	EXOC8_HUMAN	EXOC8	Exocyst complex component 8	1.1049e+06	983150	1.04415e+06	1.06478e+06	1.02078e+06	1.01544e+06	1.03002e+06	1.11741e+06	1.13039e+06	973460	1.12882e+06	806975	876818	1.17855e+06	1.2072e+06	1.06736e+06	938247	884111	730723	
Q8IYS5	Q8IYS5	OSCAR_HUMAN	OSCAR	Osteoclast-associated immunoglobulin-like receptor	417894		617360	362265	1.26423e+06		552077	702702	768176	612887	687449					1.12831e+06	343175	887870	919921	
Q8IYT1	Q8IYT1	GAR4_HUMAN	GARIN4	Golgi-associated RAB2 interactor protein 4												293595		97495.5		136223	101125			
Q8IYT4	Q8IYT4	KATL2_HUMAN	KATNAL2	Katanin p60 ATPase-containing subunit A-like 2	4.72158e+06	4.8315e+06	2.06632e+06	3.48088e+06	4.19483e+06	2.10949e+06	1.58548e+06	2.33359e+06	2.91726e+06	2.13408e+06	2.51399e+06	4.1966e+06	1.06486e+06	5.28373e+06	1.98267e+06	4.10817e+06	7.43458e+06	1.42321e+06	1.37898e+06	3.66759e+06
Q8IYU8	Q8IYU8	MICU2_HUMAN	MICU2	Calcium uptake protein 2, mitochondrial	405651		1.44061e+06							620566		473495		1.26144e+06		790240	559194	2.24917e+06		
Q8IZ07	Q8IZ07	AN13A_HUMAN	ANKRD13A	Ankyrin repeat domain-containing protein 13A	369706	414431	262717	318888	487995	230992	185077	319635	298046	263529	342913	406494		328966	312861	491532	326193	195263	237773	261354
Q8IZ83	Q8IZ83	A16A1_HUMAN	ALDH16A1	Aldehyde dehydrogenase family 16 member A1	2.03573e+06	1.31535e+06	1.78696e+06	989853	1.29502e+06	1.50886e+06	1.5185e+06	1.94627e+06	1.43721e+06	1.55491e+06	1.4806e+06	1.86901e+06	1.63273e+06	2.27857e+06	925850	1.61295e+06	2.02031e+06	1.00781e+06	1.87529e+06	1.64667e+06
Q8IZD0	Q8IZD0	SAM14_HUMAN	SAMD14	Sterile alpha motif domain-containing protein 14			822984	853874		504536								1.64917e+06						
Q8IZE3	Q8IZE3	PACE1_HUMAN	SCYL3	Protein-associating with the carboxyl-terminal domain of ezrin														59777			43241.9			
Q8IZH2	Q8IZH2	XRN1_HUMAN	XRN1	5'-3' exoribonuclease 1	409638	452184	494684	489554	417893	411873	233576	416464	497419	474181	349274	537652	338977	676327	336863	393259	496124	173328	144853	211964
Q8IZP0	Q8IZP0;Q9NYB9	ABI1_HUMAN	ABI1	Abl interactor 1	1.24898e+07	1.7781e+07	1.19083e+07	1.797e+07	1.34416e+07	1.59928e+07	1.39165e+07	1.49627e+07	1.35369e+07	1.46017e+07	1.41377e+07	1.23838e+07	1.13801e+07	8.83917e+06	1.30955e+07	1.34209e+07	1.09657e+07	1.18336e+07	9.35614e+06	4.11302e+06
Q8IZY2	Q8IZY2	ABCA7_HUMAN	ABCA7	Phospholipid-transporting ATPase ABCA7	202833	46908	221401	164876	217716	221313	187299	194078	242810	156890	264360	352599	180341	150100		53444.2	169533	140998		
Q8N0U8	Q8N0U8	VKORL_HUMAN	VKORC1L1	Vitamin K epoxide reductase complex subunit 1-like protein 1	204104	121036	174649	89564.4	196306	81114.2	59578.6	217907	151848	186335	144113	628415	420008	952256		471645	280302		110450	197368
Q8N0X7	Q8N0X7	SPART_HUMAN	SPART	Spartin													1.49865e+06	300838		161775				
Q8N0Z6	Q8N0Z6	TTC5_HUMAN	TTC5	Tetratricopeptide repeat protein 5		369910		279078										257407			667545			
Q8N122	Q8N122	RPTOR_HUMAN	RPTOR	Regulatory-associated protein of mTOR														227941						
Q8N128	Q8N128	F177A_HUMAN	FAM177A1	Protein FAM177A1	3.89369e+06	3.64166e+06	3.78505e+06	3.464e+06	4.43975e+06	4.3387e+06	3.90902e+06	3.47974e+06	2.65398e+06	4.08835e+06	3.60053e+06	4.43459e+06	3.37992e+06	3.42766e+06	2.40984e+06	5.14559e+06	3.39517e+06	2.11122e+06	2.918e+06	2.62378e+06
Q8N131	Q8N131	PORIM_HUMAN	TMEM123	Porimin	1.15571e+06	996603	798953	964456	989294	1.18086e+06	737525	649919	721658	632325	717700			1.00184e+06	979534	879275	753368	566202	973665	619828
Q8N1F8	Q8N1F8	S11IP_HUMAN	STK11IP	Serine/threonine-protein kinase 11-interacting protein	138697					39223.8								36394.7			24337.5			
Q8N1G4	Q8N1G4	LRC47_HUMAN	LRRC47	Leucine-rich repeat-containing protein 47	2.99511e+06	2.80042e+06	2.23695e+06	3.7478e+06	3.17628e+06	2.62993e+06	2.9656e+06	1.88068e+06	2.39044e+06	2.73051e+06	2.73539e+06	2.6186e+06	1.87951e+06	2.7246e+06	2.67129e+06	1.97249e+06	2.65693e+06	2.26829e+06	2.55126e+06	2.35286e+06
Q8N1N4	Q8N1N4	K2C78_HUMAN	KRT78	Keratin, type II cytoskeletal 78	386962	1.51213e+06	55659.7	1.43765e+06	1.34713e+06	201415	404348	592615	81978.6	469594	749838	271251	813265	280026	144013	609958	275647	623246	355074	
Q8N1Q1	Q8N1Q1	CAH13_HUMAN	CA13	Carbonic anhydrase 13	1.44458e+06	1.64171e+06	2.24853e+06	1.69841e+06	1.53964e+06	822408	1.91105e+06	1.76935e+06	1.70269e+06	2.50813e+06	1.97814e+06	935532	1.26793e+06	711195	1.35833e+06	1.79663e+06	1.9097e+06	1.11041e+06	1.15235e+06	1.22969e+06
Q8N257	Q8N257;Q96A08;Q99880	H2B3B_HUMAN	H2BC26	Histone H2B type 3-B	2.77047e+06	1.08241e+07	2.29117e+06	1.875e+06	4.96837e+06	9.39737e+06	1.32175e+07	2.65397e+07	2.92365e+07	2.56998e+07	1.92018e+06	355481			1.1336e+06	2.46813e+06	9.93941e+06	4.14073e+07	4.66402e+07	1.90711e+07
Q8N2F6	Q8N2F6	ARM10_HUMAN	ARMC10	Armadillo repeat-containing protein 10				733247	675323	736745	636381				794996	686995		593348		822375	794407			
Q8N2G8	Q8N2G8	GHDC_HUMAN	GHDC	GH3 domain-containing protein	320427	249095	352391	192585	323906	335578	261236	420596	197794	264686	236570	404735	307138	945442	156986	477508	425637	182559	412091	316414
Q8N2K0	Q8N2K0	ABD12_HUMAN	ABHD12	Lysophosphatidylserine lipase ABHD12										316569				314314		115604	177731		324937	
Q8N335	Q8N335	GPD1L_HUMAN	GPD1L	Glycerol-3-phosphate dehydrogenase 1-like protein	1.10603e+06	1.34246e+06	759167	990433	1.06579e+06	726559	878898	825886	1.3286e+06	804948	896119	1.0031e+06	2.86178e+06	1.18163e+06		1.06748e+06	995262	818241	337132	
Q8N386	Q8N386	LRC25_HUMAN	LRRC25	Leucine-rich repeat-containing protein 25	922132	615372	1.59536e+06	636282	1.15674e+06	777807	775985	2.17046e+06	1.79238e+06	1.1522e+06	1.04677e+06	1.21671e+06	414698	563337	1.45072e+06	436440	1.35245e+06	3.05608e+06	1.427e+06	3.14435e+06
Q8N392	Q8N392	RHG18_HUMAN	ARHGAP18	Rho GTPase-activating protein 18	9.95878e+06	1.32447e+07	1.21508e+07	1.53721e+07	1.29141e+07	1.45153e+07	1.14037e+07	1.10749e+07	1.16972e+07	9.30537e+06	1.22482e+07	8.84668e+06	1.2171e+07	9.63474e+06	1.00889e+07	1.17641e+07	1.08423e+07	1.14611e+07	1.0348e+07	6.51653e+06
Q8N3C0	Q8N3C0	ASCC3_HUMAN	ASCC3	Activating signal cointegrator 1 complex subunit 3	107854	165493	153758	164265		162682	80302.8	354910	115711	143642	113236			197770			163423			133968
Q8N3D4	Q8N3D4	EH1L1_HUMAN	EHBP1L1	EH domain-binding protein 1-like protein 1	723410	510488	754199	791783	703550	780300	576491	680708	728016	502062	590147	1.37959e+06	429033	1.16213e+06	780241	625817	450453	441877	670075	875925
Q8N3F0	Q8N3F0	MTURN_HUMAN	MTURN	Maturin	75475.8	92446.1	84652.8		111217	126242				79803.4		57585.2		92307.2		82758.3	119718			67103.6
Q8N423	Q8N423	LIRB2_HUMAN	LILRB2	Leukocyte immunoglobulin-like receptor subfamily B member 2	1.76474e+06	965497	2.21377e+06	883279	1.68198e+06	1.05581e+06	1.3932e+06	2.16296e+06	1.95035e+06	1.37842e+06	823497	1.47166e+06		384743	881676	801632	1.40378e+06	2.98113e+06	2.29334e+06	2.62543e+06
Q8N490	Q8N490	PNKD_HUMAN	PNKD	Probable hydrolase PNKD	1.02331e+06	355566	2.64292e+06	1.61028e+06	2.69116e+06	888711	1.32021e+06	1.23362e+06	1.47222e+06	2.48267e+06	842691	2.55259e+06	1.70181e+06	3.73354e+06	1.52653e+06	1.20902e+06	825395	693809	1.14516e+06	2.59782e+06
Q8N4A0	Q8N4A0	GALT4_HUMAN	GALNT4	Polypeptide N-acetylgalactosaminyltransferase 4			30349.1											92950.9						
Q8N4C8	Q8N4C8	MINK1_HUMAN	MINK1	Misshapen-like kinase 1	377001		266580	533905	460004	360995	453405	452190	511314	421686	454937	2.22681e+06	1.4429e+06	531855		2.09216e+06	592851	784487		
Q8N4L2	Q8N4L2	PP4P2_HUMAN	PIP4P2	Type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase	1.25557e+06	887734	1.27682e+06	754205	866126	749106	754126	1.64485e+06	851013	864340	790642	1.67358e+06	1.07508e+06	1.03132e+06	842489	933792	860173	818585	739425	870013
Q8N4Q1	Q8N4Q1	MIA40_HUMAN	CHCHD4	Mitochondrial intermembrane space import and assembly protein 40	137998	118954	158381	68176.6	82014.2	64674.9	112501	105463	89086.6	70985.1	43704.2	83243.3		211954			112720		59709.9	
Q8N573	Q8N573	OXR1_HUMAN	OXR1	Oxidation resistance protein 1		124946	84203.9	181905	173149	180352	120596		220055		187932		133070	655608		199046	121168	78697.8	53794.8	
Q8N5C1	Q8N5C1	CAHM5_HUMAN	CALHM5	Calcium homeostasis modulator protein 5	1.2391e+06	1.13139e+06	1.32081e+06	1.49053e+06	1.35016e+06	1.6e+06	1.51239e+06	1.62529e+06	1.72973e+06	864209	1.35689e+06	956096	1.46216e+06	554299	1.3592e+06	1.13553e+06	855668	991593	1.1432e+06	455574
Q8N5I2	Q8N5I2	ARRD1_HUMAN	ARRDC1	Arrestin domain-containing protein 1	369099	408908	492806	274508	427027	426831	565283	500152	633011	332038	408176	325612	277100	174770	405214	279943	299096	471573	201911	381368
Q8N5J2	Q8N5J2;Q8NBR6	MINY1_HUMAN	MINDY1	Ubiquitin carboxyl-terminal hydrolase MINDY-1	1.79064e+06	2.81625e+06	2.36218e+06	2.76396e+06	2.01887e+06	3.63387e+06	1.80991e+06	2.24122e+06	2.46881e+06	1.863e+06	1.96631e+06	2.19818e+06	3.26152e+06	4.77994e+06	1.25292e+06	1.93844e+06	1.96231e+06	1.98905e+06	1.90078e+06	755673
Q8N5K1	Q8N5K1	CISD2_HUMAN	CISD2	CDGSH iron-sulfur domain-containing protein 2	1.94977e+06	1.61984e+06	2.13553e+06	1.57023e+06	2.2302e+06	1.28024e+06	1.59094e+06	2.05963e+06	1.76403e+06	1.7248e+06	1.60645e+06	2.83646e+06	1.59561e+06	5.05222e+06	1.34878e+06	3.67626e+06	2.3068e+06	698023	2.24342e+06	2.19599e+06
Q8N5M9	Q8N5M9	JAGN1_HUMAN	JAGN1	Protein jagunal homolog 1	382864		317004			161739		568419						704743		602789	442076			433230
Q8N5W9	Q8N5W9	RFLB_HUMAN	RFLNB	Refilin-B		744074	572965			424526	942209			1.10068e+06				687716		718431	804743		1.1388e+06	
Q8N668	Q8N668	COMD1_HUMAN	COMMD1	COMM domain-containing protein 1	35719.6		36033.7	99554.1		69495.5								68350.7						
Q8N680	Q8N680	ZBTB2_HUMAN	ZBTB2	Zinc finger and BTB domain-containing protein 2				289451					187163					262162						
Q8N697	Q8N697	S15A4_HUMAN	SLC15A4	Solute carrier family 15 member 4	1.82263e+06	1.21721e+06	2.05155e+06	1.3337e+06	1.41422e+06	911156	1.03791e+06	2.44256e+06	2.39935e+06	679998	1.15495e+06	2.38312e+06	1.01883e+06	485518		2.36128e+06	1.61531e+06	1.78978e+06	1.63516e+06	1.39134e+06
Q8N699	Q8N699	MYCT1_HUMAN	MYCT1	Myc target protein 1	6.1067e+06	5.98503e+06	5.2672e+06	5.50532e+06	7.2091e+06	5.4433e+06	5.76941e+06	6.27901e+06	5.08771e+06	4.20174e+06	6.35465e+06	736973	2.05971e+06	3.10515e+06	6.34687e+06	1.05985e+06	2.65012e+06	5.03883e+06	4.17695e+06	2.92664e+06
Q8N6C8	O75022;P59901;Q8N423;Q8N6C8;Q6PI73	LIRA3_HUMAN	LILRA3	Leukocyte immunoglobulin-like receptor subfamily A member 3	2.04968e+06	1.28302e+06	1.89226e+06	1.43734e+06	2.00629e+06	879626	1.38866e+06	1.688e+06	4.01417e+06	3.21236e+06	920037	1.25911e+06		888604	1.40077e+06	791105	781464	3.92401e+06	2.03363e+06	3.51974e+06
Q8N6H7	Q8N6H7	ARFG2_HUMAN	ARFGAP2	ADP-ribosylation factor GTPase-activating protein 2	97906.8		55019.4	52651.3	60600.8	73690.6				62246	31515.7	58759.5		164979			78664.7			
Q8N6L1	Q8N6L1	KTAP2_HUMAN	KRTCAP2	Keratinocyte-associated protein 2														210237						177898
Q8N6Q3	Q8N6Q3	CD177_HUMAN	CD177	CD177 antigen	1.2195e+06	1.06899e+06	1.8627e+06	608011	274169	576719	745737	1.36565e+06	535724								791056	3.29007e+06	1.24398e+06	
Q8N766	Q8N766	EMC1_HUMAN	EMC1	ER membrane protein complex subunit 1	605048	616281	530093	1.15124e+06	762948	439300	264935	845940	585345	549571	640710	1.08332e+06	909051	1.5944e+06	1.61322e+06	1.26773e+06	724568		1.11614e+06	408130
Q8N7A1	Q8N7A1	KLDC1_HUMAN	KLHDC1	Kelch domain-containing protein 1					1.64017e+06	318730	864512	3.70214e+06	509241	333091	345942	1.07809e+06	1.05807e+06		2.12175e+06	552278			493762	
Q8N983	Q8N983	RM43_HUMAN	MRPL43	Large ribosomal subunit protein mL43								154840						181831		45197.9	65825.6			
Q8N9F7	Q8N9F7	GDPD1_HUMAN	GDPD1	Lysophospholipase D GDPD1														197166			136963			
Q8N9N2	Q8N9N2	ASCC1_HUMAN	ASCC1	Activating signal cointegrator 1 complex subunit 1												325530	470390	357916			169546		92439.5	
Q8N9N7	Q8N9N7	LRC57_HUMAN	LRRC57	Leucine-rich repeat-containing protein 57	2.53104e+06	2.10911e+06	2.32983e+06	2.26833e+06	2.18036e+06	2.23366e+06	2.13688e+06	1.981e+06	2.22279e+06	1.91214e+06	1.97775e+06	2.074e+06	2.40924e+06	1.09798e+06	2.07612e+06	2.2652e+06	1.80304e+06	1.798e+06	1.74542e+06	1.69324e+06
Q8N9U0	Q8N9U0	TAC2N_HUMAN	TC2N	Tandem C2 domains nuclear protein	4.79843e+06	3.56454e+06	2.97027e+06	3.22386e+06	3.98497e+06	4.69446e+06	2.94707e+06	2.57029e+06	3.32266e+06	4.42331e+06	4.69498e+06	2.85848e+06	3.15722e+06	4.21418e+06	3.37708e+06	5.02785e+06	3.87384e+06	3.84085e+06	2.66893e+06	2.28238e+06
Q8NB16	Q8NB16	MLKL_HUMAN	MLKL	Mixed lineage kinase domain-like protein		68875.2		146072		133721			184314	99962.4				160485						
Q8NB37	Q8NB37	GALD1_HUMAN	GATD1	Glutamine amidotransferase-like class 1 domain-containing protein 1	832901	379386	344096	417481		350646	342297	312620	479182	527804	470883	625870	340568	539189		749973	1.05439e+06	611090	518715	662218
Q8NB49	Q8NB49	AT11C_HUMAN	ATP11C	Phospholipid-transporting ATPase IG	475741	679576	691588	423948	622854	523541	452805	425584	563712	393507	621550	530337		412792	941834	439955	480711	581751	301339	1.00501e+06
Q8NBF2	Q8NBF2	NHLC2_HUMAN	NHLRC2	NHL repeat-containing protein 2	2.73483e+06	2.97804e+06	3.10479e+06	3.31469e+06	2.7545e+06	2.69669e+06	2.46962e+06	2.15416e+06	2.51711e+06	2.32922e+06	2.92783e+06	2.82497e+06	2.9342e+06	3.81658e+06	2.57035e+06	2.61038e+06	3.07419e+06	2.12875e+06	2.22631e+06	2.30164e+06
Q8NBI5	Q8NBI5	S43A3_HUMAN	SLC43A3	Equilibrative nucleobase transporter 1	1.45101e+06	1.33018e+06	962985	1.24707e+06	1.2073e+06	1.4539e+06	1.2715e+06	1.59504e+06	1.28863e+06	1.49553e+06	1.26584e+06	1.87201e+06	925167	971208	514930	1.38515e+06	1.0254e+06	1.31098e+06	846872	1.11842e+06
Q8NBJ5	Q8NBJ5	GT251_HUMAN	COLGALT1	Procollagen galactosyltransferase 1	159221	154410	230549	116227		110955		286129	230705	863597	240219	154537	120321	474794		235735	292638	220344	146065	311533
Q8NBJ7	Q8NBJ7	SUMF2_HUMAN	SUMF2	Inactive C-alpha-formylglycine-generating enzyme 2	176555	286939	414721		373812	210982	218665	430937	363834	317412	299435	357488		586491	201385	309776	349595	309586	373105	118888
Q8NBL1	Q8NBL1	PGLT1_HUMAN	POGLUT1	Protein O-glucosyltransferase 1							89751.3							135826			166066			
Q8NBM4	Q8NBM4	UBAC2_HUMAN	UBAC2	Ubiquitin-associated domain-containing protein 2						166043			258332					370039	285518	141212				
Q8NBM8	Q8NBM8	PCYXL_HUMAN	PCYOX1L	Prenylcysteine oxidase-like	2.02013e+06	1.19128e+06	1.206e+06	973205	2.03525e+06	1.26547e+06	1.5616e+06	1.31809e+06	1.409e+06	1.63884e+06	1.30912e+06	1.51182e+06	1.38768e+06	3.62353e+06	416912	1.41217e+06	2.04093e+06	376983	1.76447e+06	922078
Q8NBN3	Q8NBN3	TM87A_HUMAN	TMEM87A	Transmembrane protein 87A						61254.2								189523						
Q8NBN7	Q8NBN7	RDH13_HUMAN	RDH13	Retinol dehydrogenase 13			86884.2		175818	59415.4		89626.5						244889			116105			
Q8NBP7	Q8NBP7	PCSK9_HUMAN	PCSK9	Proprotein convertase subtilisin/kexin type 9	3.33734e+06	1.4929e+06	1.00205e+06	940948	2.66558e+06	498743	1.65946e+06	1.55061e+06	1.51139e+06	1.1841e+06	1.91551e+06	1.05799e+06	1.56002e+06	237731	3.92929e+06	1.01401e+06	652607	1.07724e+06	1.93616e+06	3.53242e+06
Q8NBQ5	Q8NBQ5	DHB11_HUMAN	HSD17B11	Estradiol 17-beta-dehydrogenase 11	734743	513744	1.16591e+06	356057	761687	523449	505808	1.53083e+06	1.2727e+06	1.38711e+06	531806	708711	201212	1.41902e+06	607304	905267	1.19054e+06	1.48867e+06	851973	1.83139e+06
Q8NBR6	Q8NBR6	MINY2_HUMAN	MINDY2	Ubiquitin carboxyl-terminal hydrolase MINDY-2		165506	66923.7	133339		236119		107887	183081					333451						
Q8NBS9	Q8NBS9	TXND5_HUMAN	TXNDC5	Thioredoxin domain-containing protein 5	1.32485e+06	1.49182e+06	1.24805e+06	951955	2.03818e+06	1.10974e+06	1.28634e+06	1.83722e+06	1.75664e+06	1.967e+06	1.60735e+06	1.30359e+06	789082	4.23329e+06	1.1972e+06	1.63356e+06	1.55869e+06	802393	2.66958e+06	2.07605e+06
Q8NBU5	Q8NBU5	ATAD1_HUMAN	ATAD1	Outer mitochondrial transmembrane helix translocase						79772.6				159246				72106.4			28435.7			
Q8NBX0	Q8NBX0	SCPDL_HUMAN	SCCPDH	Saccharopine dehydrogenase-like oxidoreductase	2.6335e+06	1.81692e+06	2.98764e+06	1.39764e+06	3.38845e+06	1.55735e+06	2.17545e+06	2.57039e+06	2.35322e+06	2.49586e+06	2.04955e+06	2.5557e+06	2.17361e+06	7.35075e+06	1.2313e+06	2.41083e+06	2.53978e+06	1.83405e+06	1.97883e+06	1.82644e+06
Q8NBZ7	Q8NBZ7	UXS1_HUMAN	UXS1	UDP-glucuronic acid decarboxylase 1														181017			455230			
Q8NC44	Q8NC44	RETR2_HUMAN	RETREG2	Reticulophagy regulator 2														206594		135857				
Q8NC51	Q8NC51	SERB1_HUMAN	SERBP1	SERPINE1 mRNA-binding protein 1			302439	953441		201764	253596	369374	586890	429549	661418	559641		405315	371872	562985	385543	313818	316478	
Q8NC56	Q8NC56	LEMD2_HUMAN	LEMD2	LEM domain-containing protein 2														87283.5			59509.5			
Q8NCA5	Q8NCA5	FA98A_HUMAN	FAM98A	Protein FAM98A	503762	324962	409265	665947	512098	397780	391253	760434	518533	344452	402016	1.44446e+06		687733		526096	796653	448297		
Q8NCE2	Q8NCE2	MTMRE_HUMAN	MTMR14	Myotubularin-related protein 14			445148			99320				76652.7				141207			121169			
Q8NCG7	Q8NCG7	DGLB_HUMAN	DAGLB	Diacylglycerol lipase-beta	435038	273885	589997	429173	476882	276857	340364	616579	661165	497423	452078	828909	497682	538175	498372	621664	482150	504329	487336	826508
Q8NCN5	Q8NCN5	PDPR_HUMAN	PDPR	Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial	1.41609e+07													1.9112e+06			1.82022e+06			
Q8NCW5	Q8NCW5	NNRE_HUMAN	NAXE	NAD(P)H-hydrate epimerase	2.20062e+06	2.75491e+06	2.12576e+06	2.35291e+06	2.32061e+06	2.10021e+06	2.79771e+06	2.68665e+06	2.38177e+06	3.30136e+06	2.89837e+06	2.51145e+06	1.57655e+06	1.20289e+06	1.99121e+06	2.55708e+06	2.68644e+06	1.97049e+06	2.49891e+06	1.87137e+06
Q8ND56	Q8ND56	LS14A_HUMAN	LSM14A	Protein LSM14 homolog A	81823			57985.6		96537.7			136888	94276.1	62651			272990					43959.7	
Q8ND71	Q8ND71	GIMA8_HUMAN	GIMAP8	GTPase IMAP family member 8	223435		155901		321930	75989.6		253518	328175		198054			82181.8	172602			176400		221756
Q8ND76	Q8ND76	CCNY_HUMAN	CCNY	Cyclin-Y	1.42941e+06	1.44813e+06	1.2881e+06	2.09798e+06	1.26246e+06	1.30333e+06	1.18664e+06	1.45691e+06	1.528e+06	1.3203e+06	1.32002e+06	1.15882e+06	1.13324e+06	1.14466e+06	1.21676e+06	841820	997253	1.65261e+06	1.17051e+06	1.09029e+06
